datetime,trade_pnl,equity,equity_smooth
2026-01-20 09:34:00-05:00,-46.5,24953.5,24880.333333333332
2026-01-20 09:39:00-05:00,-86.0,24867.5,24851.25
2026-01-20 09:43:00-05:00,-47.5,24820.0,24831.3
2026-01-20 09:50:00-05:00,-56.0,24764.0,24765.8
2026-01-20 10:06:00-05:00,-12.5,24751.5,24878.0
2026-01-20 10:22:00-05:00,-125.5,24626.0,25009.4
2026-01-20 16:00:00-05:00,802.5,25428.5,25128.3
2026-01-21 09:38:00-05:00,48.5,25477.0,25266.4
2026-01-21 09:44:00-05:00,-118.5,25358.5,25427.0
2026-01-21 13:52:00-05:00,83.5,25442.0,25393.4
2026-01-21 14:02:00-05:00,-13.0,25429.0,25344.6
2026-01-21 14:28:00-05:00,-168.5,25260.5,25318.9
2026-01-22 09:33:00-05:00,-27.5,25233.0,25270.2
2026-01-22 09:38:00-05:00,-3.0,25230.0,25246.9
2026-01-22 09:41:00-05:00,-31.5,25198.5,25245.3
2026-01-22 10:34:00-05:00,114.0,25312.5,25241.5
2026-01-22 15:03:00-05:00,-60.0,25252.5,25220.0
2026-01-22 15:15:00-05:00,-38.5,25214.0,25181.9
2026-01-22 15:52:00-05:00,-91.5,25122.5,25119.6
2026-01-23 09:32:00-05:00,-114.5,25008.0,25053.6
2026-01-23 09:41:00-05:00,-7.0,25001.0,24978.8
2026-01-23 09:52:00-05:00,-78.5,24922.5,24917.2
2026-01-23 13:08:00-05:00,-82.5,24840.0,24872.8
2026-01-23 13:55:00-05:00,-25.5,24814.5,24821.7
2026-01-23 15:16:00-05:00,-28.5,24786.0,24774.2
2026-01-23 15:45:00-05:00,-40.5,24745.5,24760.3
2026-01-23 15:54:00-05:00,-60.5,24685.0,24748.0
2026-01-26 16:00:00-05:00,85.5,24770.5,24735.0
2026-01-27 09:42:00-05:00,-17.5,24753.0,24707.8
2026-01-27 09:46:00-05:00,-32.0,24721.0,24680.3
2026-01-28 09:41:00-05:00,-111.5,24609.5,24659.6
2026-01-28 09:51:00-05:00,-62.0,24547.5,24639.3
2026-01-28 14:49:00-05:00,119.5,24667.0,24622.5
2026-01-28 14:52:00-05:00,-15.5,24651.5,24616.2
2026-01-28 14:59:00-05:00,-14.5,24637.0,24644.6
2026-01-28 15:07:00-05:00,-59.0,24578.0,25060.7
2026-01-28 16:00:00-05:00,111.5,24689.5,25469.3
2026-01-29 12:14:00-05:00,2058.0,26747.5,25888.5
2026-01-29 13:03:00-05:00,-53.0,26694.5,26305.6
2026-01-30 09:34:00-05:00,38.5,26733.0,26695.7
2026-01-30 09:50:00-05:00,-69.5,26663.5,26663.7
2026-01-30 09:57:00-05:00,-23.5,26640.0,26638.9
2026-01-30 10:07:00-05:00,-52.5,26587.5,26588.7
2026-01-30 10:36:00-05:00,-17.0,26570.5,26626.7
2026-01-30 10:39:00-05:00,-88.5,26482.0,26665.9
2026-01-30 16:00:00-05:00,371.5,26853.5,26890.8
2026-02-02 09:32:00-05:00,-17.5,26836.0,27110.2
2026-02-03 16:00:00-05:00,876.0,27712.0,27328.1
2026-02-04 09:35:00-05:00,-44.5,27667.5,27483.3
2026-02-04 09:49:00-05:00,-96.0,27571.5,27696.4
2026-02-04 10:24:00-05:00,58.0,27629.5,27729.3
2026-02-04 14:49:00-05:00,272.0,27901.5,27762.1
2026-02-04 14:52:00-05:00,-25.0,27876.5,27806.1
2026-02-04 15:04:00-05:00,-45.0,27831.5,27835.5
2026-02-04 15:10:00-05:00,-40.0,27791.5,27797.1
2026-02-04 15:28:00-05:00,-15.0,27776.5,27746.0
2026-02-04 15:38:00-05:00,-67.0,27709.5,27720.1
2026-02-04 15:48:00-05:00,-88.5,27621.0,27685.8
2026-02-04 16:00:00-05:00,81.0,27702.0,27612.6
2026-02-05 09:33:00-05:00,-82.0,27620.0,27583.1
2026-02-05 09:35:00-05:00,-209.5,27410.5,27552.5
2026-02-05 11:23:00-05:00,151.5,27562.0,27503.1
2026-02-05 11:25:00-05:00,-94.0,27468.0,27460.3
2026-02-05 13:25:00-05:00,-13.0,27455.0,27452.9
2026-02-05 13:27:00-05:00,-49.0,27406.0,27411.7
2026-02-05 14:04:00-05:00,-32.5,27373.5,27373.2
2026-02-05 14:06:00-05:00,-17.5,27356.0,27364.1
2026-02-05 15:02:00-05:00,-80.5,27275.5,27354.3
2026-02-05 16:00:00-05:00,134.0,27409.5,27350.7
2026-02-06 10:22:00-05:00,-52.5,27357.0,27338.2
2026-02-06 10:26:00-05:00,-1.5,27355.5,27336.3
2026-02-06 10:56:00-05:00,-62.0,27293.5,27290.7
2026-02-10 09:33:00-05:00,-27.5,27266.0,27260.0
2026-02-10 09:36:00-05:00,-84.5,27181.5,27222.5
2026-02-10 09:52:00-05:00,22.0,27203.5,27188.3
2026-02-10 11:09:00-05:00,-35.5,27168.0,27158.0
2026-02-10 11:11:00-05:00,-45.5,27122.5,27142.9
2026-02-10 12:15:00-05:00,-8.0,27114.5,27292.0
2026-02-10 12:38:00-05:00,-8.5,27106.0,27452.0
2026-02-10 16:00:00-05:00,843.0,27949.0,27621.7
2026-02-11 09:32:00-05:00,19.0,27968.0,27778.0
2026-02-11 09:46:00-05:00,3.0,27971.0,27985.8
2026-02-11 09:49:00-05:00,-75.0,27896.0,28017.7
2026-02-11 10:55:00-05:00,249.0,28145.0,28037.8
2026-02-11 11:14:00-05:00,-36.5,28108.5,28038.5
2026-02-11 11:20:00-05:00,-40.0,28068.5,28053.7
2026-02-11 11:41:00-05:00,-94.0,27974.5,28006.2
2026-02-11 12:23:00-05:00,-2.5,27972.0,27952.9
2026-02-11 13:18:00-05:00,-64.5,27907.5,28137.8
2026-02-11 13:23:00-05:00,-65.5,27842.0,28342.9
2026-02-12 16:00:00-05:00,1151.0,28993.0,28548.2
2026-02-13 09:45:00-05:00,7.0,29000.0,28742.8
2026-02-13 10:01:00-05:00,-1.5,28998.5,28940.3
2026-02-13 10:52:00-05:00,-118.0,28880.5,28921.4
2026-02-13 15:20:00-05:00,-51.0,28829.5,28924.5
2026-02-13 16:00:00-05:00,69.0,28898.5,28923.3
2026-02-16 09:51:00-05:00,117.0,29015.5,28945.6
2026-02-16 09:53:00-05:00,-23.0,28992.5,28965.2
2026-02-16 11:11:00-05:00,-0.5,28992.0,28963.9
2026-02-16 11:31:00-05:00,-64.5,28927.5,28931.3
2026-02-16 11:52:00-05:00,-35.5,28892.0,28889.2
2026-02-16 12:02:00-05:00,-39.5,28852.5,28880.5
2026-02-16 12:28:00-05:00,-70.5,28782.0,28880.4
2026-02-17 10:19:00-05:00,166.5,28948.5,28879.3
2026-02-17 10:52:00-05:00,-21.5,28927.0,28876.8
2026-02-17 10:56:00-05:00,-40.5,28886.5,28863.3
2026-02-17 10:59:00-05:00,-46.5,28840.0,28798.4
2026-02-17 12:58:00-05:00,-125.5,28714.5,28735.1
2026-02-18 09:39:00-05:00,-90.5,28624.0,28683.0
2026-02-18 09:52:00-05:00,-13.5,28610.5,28652.9
2026-02-18 15:55:00-05:00,15.5,28626.0,28648.0
2026-02-18 16:00:00-05:00,63.5,28689.5,28653.1
2026-02-19 09:32:00-05:00,0.5,28690.0,28665.9
2026-02-19 09:34:00-05:00,-40.5,28649.5,28663.6
2026-02-19 09:43:00-05:00,25.0,28674.5,28630.7
2026-02-19 09:45:00-05:00,-60.0,28614.5,28588.1
2026-02-19 09:47:00-05:00,-89.5,28525.0,28541.5
2026-02-19 09:49:00-05:00,-48.0,28477.0,28482.5
2026-02-19 11:10:00-05:00,-60.5,28416.5,28431.8
2026-02-19 11:31:00-05:00,-37.0,28379.5,28402.6
2026-02-19 12:21:00-05:00,-18.5,28361.0,28362.1
2026-02-19 15:59:00-05:00,18.0,28379.0,28330.8
2026-02-20 12:46:00-05:00,-104.5,28274.5,28300.3
2026-02-20 12:49:00-05:00,-14.5,28260.0,28272.3
2026-02-20 13:25:00-05:00,-33.0,28227.0,28238.0
2026-02-20 13:31:00-05:00,-6.0,28221.0,28220.0
2026-02-23 09:33:00-05:00,-13.5,28207.5,28268.7
2026-02-23 09:38:00-05:00,-23.0,28184.5,28329.8
2026-02-23 16:00:00-05:00,319.0,28503.5,28387.2
2026-02-24 09:39:00-05:00,29.0,28532.5,28430.8
2026-02-25 09:32:00-05:00,-24.5,28508.0,28472.7
2026-02-25 11:00:00-05:00,-82.5,28425.5,28445.5
2026-02-25 11:07:00-05:00,-31.5,28394.0,28404.0
2026-02-25 11:15:00-05:00,-26.5,28367.5,28358.1
2026-02-25 11:21:00-05:00,-42.5,28325.0,28418.6
2026-02-25 11:25:00-05:00,-46.5,28278.5,28479.5
2026-02-26 14:09:00-05:00,449.5,28728.0,28503.4
2026-02-26 15:33:00-05:00,-29.5,28698.5,28522.4
2026-02-27 09:33:00-05:00,-211.5,28487.0,28549.4
2026-02-27 09:46:00-05:00,-67.0,28420.0,28481.4
2026-02-27 09:58:00-05:00,-6.5,28413.5,28410.2
2026-02-27 12:25:00-05:00,-25.5,28388.0,28377.7
2026-02-27 12:56:00-05:00,-45.5,28342.5,28348.5
2026-02-27 13:08:00-05:00,-18.0,28324.5,28297.3
2026-02-27 14:04:00-05:00,-50.5,28274.0,28242.9
2026-02-27 15:11:00-05:00,-116.5,28157.5,28186.9
2026-02-27 15:41:00-05:00,-41.5,28116.0,28109.4
2026-02-27 15:43:00-05:00,-53.5,28062.5,28035.1
2026-03-02 09:32:00-05:00,-125.5,27937.0,27975.5
2026-03-02 10:35:00-05:00,-34.5,27902.5,27909.1
2026-03-02 11:31:00-05:00,-43.0,27859.5,27856.5
2026-03-02 11:35:00-05:00,-75.5,27784.0,27825.1
2026-03-03 09:32:00-05:00,15.5,27799.5,27774.0
2026-03-03 09:34:00-05:00,-19.5,27780.0,27731.2
2026-03-03 09:37:00-05:00,-133.0,27647.0,27703.2
